日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
 96/02/26,4183799092,126167430160,788754,7900.2,90.75
 96/02/27,3985851984,116974937185,808942,7901.96,1.76
 96/03/01,4251344487,137100550498,892948,7678.67,-223.29
 96/03/02,3759622742,117346954287,818291,7670.77,-7.9
 96/03/03,3207629558,90404821204,706218,7630.15,-40.62
 96/03/05,4558230689,136665924734,909680,7344.56,-285.59
 96/03/06,3329140344,105201558110,726945,7451.06,106.5
 96/03/07,3895464090,122897458292,824619,7480.89,29.83
 96/03/08,3598740984,112197775964,801031,7573.87,92.98
 96/03/09,3323052960,96833130335,748448,7568.2,-5.67
 96/03/12,3909346620,147002635633,681315,7629.15,60.95
 96/03/13,3418148662,105495424264,767409,7684.0,54.85
 96/03/14,3677171261,107823629477,798618,7570.27,-113.73
 96/03/15,4222077233,126788299513,920921,7695.96,125.69
 96/03/16,4307013270,119298925986,912600,7719.8,23.84
 96/03/19,3602808308,95467875159,777120,7737.46,17.66
 96/03/20,3946497960,104093092250,811309,7736.2,-1.26
 96/03/21,3294070250,85529618273,703008,7757.03,20.83
 96/03/22,4015992915,112389573179,808930,7823.67,66.64
 96/03/23,3851950334,109553446465,812657,7859.32,35.65
 96/03/26,3648054626,105867360785,804924,7877.82,18.5
 96/03/27,4113591192,129139189681,899108,7845.17,-32.65
 96/03/28,3762567449,105563189215,782962,7788.14,-57.03
 96/03/29,4146222007,115141946276,848102,7848.33,60.19
 96/03/30,4249156401,118580189433,901939,7884.41,36.08
 96/04/02,4516211229,120095892280,906642,7884.99,0.58
 96/04/03,4532043937,119447970898,933001,7932.91,47.92
 96/04/04,5013864229,133647317237,988677,8004.61,71.7
 96/04/09,4795811009,119894481393,947826,8056.56,51.95
 96/04/10,4659570628,114770367637,916433,8048.39,-8.17
 96/04/11,4317073231,114589518349,898670,8084.45,36.06
 96/04/12,4247157290,109326707236,859429,8075.2,-9.25
 96/04/13,4570130203,115553889591,936688,8002.3,-72.9
 96/04/14,3453220545,75501235461,710327,8045.12,42.82
 96/04/16,4519109393,113211168189,944582,8043.54,-1.58
 96/04/17,5585265886,132682581914,1068917,7959.29,-84.25
 96/04/18,3949799600,101596796724,765219,8003.31,44.02
 96/04/19,4445991997,108806317111,830328,7888.63,-114.68
 96/04/20,3698203469,92845613877,736007,7942.67,54.04
 96/04/23,4041132200,102840942236,786591,8010.46,67.79
 96/04/24,4046565417,99109068055,775184,8045.01,34.55
 96/04/25,3942010703,94179696893,738244,7984.65,-60.36
 96/04/26,3585985082,97173526192,725530,8000.04,15.39
 96/04/27,3493507178,92200677291,693021,7949.42,-50.62
 96/04/30,3475889306,83516559395,652849,7875.42,-74.0
 96/05/02,3206603980,88985147055,645614,7903.04,27.62
 96/05/03,4299156773,120393334916,816693,7926.66,23.62
 96/05/04,3786238206,113972525120,752777,8066.06,139.4
 96/05/07,3762427069,107224314600,738052,8115.27,49.21
 96/05/08,2977255234,88576283877,655187,8095.84,-19.43
 96/05/09,2897536884,86478143621,605804,8052.7,-43.14
 96/05/10,3373652930,97733307700,678013,8096.86,44.16
 96/05/11,2945751997,82756812671,629636,8031.54,-65.32
 96/05/14,2869029353,81115573581,584937,8030.56,-0.98
 96/05/15,2629360204,69238875585,550228,7975.03,-55.53
 96/05/16,2505648890,66421125531,519452,7988.57,13.54
 96/05/17,3157306172,84816841323,633466,8037.96,49.39
 96/05/18,3014728462,90623930349,612039,8034.14,-3.82
 96/05/21,3632446540,104990868457,721565,8141.59,107.45
 96/05/22,4095631343,117118079782,803001,8188.63,47.04
 96/05/23,4003219636,112667852815,810976,8221.79,33.16
 96/05/24,3414504125,104383080734,728213,8216.41,-5.38
 96/05/25,3252938347,95850349507,701290,8159.97,-56.44
 96/05/28,2940941935,85728758234,631200,8156.82,-3.15
 96/05/29,3061408671,93364038737,672907,8181.49,24.67
 96/05/30,3265289629,94501662693,670303,8147.34,-34.15
 96/05/31,4269116571,138107215520,843585,8144.95,-2.39
 96/07/02,5490199264,132404380101,992222,8939.49,56.28
